text ,label
After a week only one side works,Negative
Yo get exactly what you order in a timely fashion. And the item is just as described. Great buy if you ask me,Positive
"This is a terribly awesome product in my Subaru is console.  Passengers love it, I love it because it emits a blue glow, because it has held up to abuse over the years and performs like new.",Positive
"I have bough a munch of different things like this over the years. Most would not stay in the jack, or would give out after a few days. This one is GREAT!",Positive
"Only works one side at a time. When you connect two cables, one side stop working and also overheated burning the fuses. I purchased two of them and it is the same problem. Cheap and bad quality.",Negative
it works great i like i can charge two thing at the same now i dont have to wait for my to finish charging her phone,Positive
"It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job",Positive
Did not last veryery long. Worked great when it worked but it is a cheap piece of plastic crap so I should not have expected it to last.,Positive
"excellent product, works great , have easy handling, and good quality as it is announced. reached as is shown time and in veryery good condition thank you veryery much for everything",Positive
Purchased two and we put one in each car. Now we charge our ipad and iohone together. Can also use to power my Galaxy Note 2 or recharge other USB devices. If you have to think about it you need counseling,Negative
great charger for 2 devices and i have not had any problems so far 3yrs now,Positive
Purchased product about many a month ago. Pros: Loved it work just fine!! Cool Blue light feature when you plug it into the lighter!! Can plug in two things at one time....Con: Top clear piece came off easily overtime (I just put clear tape around the top) TOTAL: PROS:95% CONS:5%,Positive
"I bought this so that I could use and charge my Tab at the same time. My tab does not recognize the high power port and will either charge while off or use power while on, it will not charge while powered on.",Negative
"I bought this to charge my iphone and tablet in the car. works for iphone but not the tablet. I needed a stronger charge for that but this is still great for both iphoe and ipod together. it is cheap, small and compact",Positive
Works great. The blue led light is a nice touch in the car. We charge a Samsung and Iphone using this outlet. Nice low profile too.,Positive
"works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets. I would recommend it to anyone looking for a universal car charger.",Positive
"I could only give this USB car charger 2 stars because although it worked fine for about 3 months, it subsequently died on me.Pros:-Has 2 USB ports for charging, one (the top) is 2.1 amps.  The bottom slot is lower, presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.  I have had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the veryery high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.Cons:-It died on me after 3 months.I had really enjoyed using this USB charger.  It rapidly charged my iPhone and worked well with charging the phones of my family and friends.  The two slot design makes this design veryery handy; with a 1 slot design, no one else can charge their device unless I remove my cord.  Of course, after this charger died, I had to go back to the 1 slot design I was using before.After 3 months, I began to notice the LED light flickering.  It was less than a week later that is quit working permanently.  I am not sure what the problem was - faulty wiring, bad design, I guess I will never know.  I thought about getting another since they are so cheap, but then I thought better of it.  Maybe they are so cheap because they are simply disposable after a short period of time.For whatever reason, it died and I was forced to look for another 2 slot design - I have not found one in my price range yet.",Positive
"This charger works great and is short, unlike most chargers. It does a great job with charging both my phone and my GPS when I am in the car.  Great veryalue and easy on the wallet.",Positive
"I bought 2 of this and tried to test first ... after few minutes of charging, it felt hot. Pulled it out and the product smelled burnt. Tried the other one too and same thing. Be careful... this one could be fire hazard or could potentially destroy the electrical system",Negative
This portable USB Port car charger is a must have for people on the go.  Pair this with an extra or spare cord and you are good to go!,Positive
"I love the way it can charge 2 devices at once!  Seems to charge quicker without GPS on, with it on, it only holds the battery, but better than it dying!!!",Positive
Bought so we could charge to phones at the same time while in the car from the same port.  Works.,Negative
I received this product before I expected. It looks pretty good and It works with my Iphone (3GS) and my phone (HTC Evo V 3D). It is a good deal because It is not easy to find something like this for this price,Positive
"I have several of these, from veryarious retailers, all the same, each made in some anonymous Chinese factory, all exactly alike.They are great. They really do work, and they do deliver 2.1 and 1.0 power as they say they will do. They do the job.You would not expect much QC for a $2 electrical product, but they each work just fine.They do not last forever-- about a year or two of active daily use seems about par, then they suddenly die. So do have some replacements on hand. At this price, no problem.Yes, they work with both my iPhone and iPad. Also with every other USB device I have needed to charge.The LED light that indicates you are plugged in correctly is veryery helpful.These are great for rental cars and travel. If you leave one behind, hey, it is only $2.I am totally pleased with these clever little gems. No complaints. I would not be without a couple, especially for travel.Hope this is helpful. Happy trails, all.",Positive
good product at low price.purchased this looking for a smaller charger and I love Griffin products.Free shipping just took a little longer,Positive
"I use this in my car to charge my phone and my iPod as needed. It works well, but the bright blue light can be annoying when driving at night. Overall, a veryery good deal.",Positive
I love this case! It is so pretty.And I love the way the case feels to the touch because of the rubber. Very happy!,Positive
The idea of the design is a sweet idea but it wears off as the paint is over the case and not under a sealant or anything. It has a cool 3D effect but at the cost of the paint rubbing off.It is quite pretty though.,Positive
"I was worried about this order because the picture on the description page kept changing to a less-desireable green/orange cover.  But alas, it came a day earlier than expected, and the beautiful pink product expected!  The ""rubberized"" cover feels a little greasy (like it was armor-all would), but the design is gorgeous and a little 3D looking!",Negative
Another pretty phone case that I really love. I have many as I love t o change them around .thanks,Positive
"The case is not white, its more of a silver. It is still a veryery pretty case- it fit my phone perfectly. It took too long to arrive.",Positive
Defintiely worth the price...You should order several.  Most cases are $15 and up especially at the cell phone stores.  I can not believe the mark up on these things!,Positive
This is a great case... It fit my phone perfectly and I still use it from time to time. Would recommend,Positive
"Received this item veryery quickly. The design is even more veryivid than expected. The cover is soft (rubberized) but durable. I have received many compliments. It was an excellent buy! I would recommend this to anyone wanting a ""good look"" for their phone.",Positive
this cover makes an old phone look and feel new. I like that I can order covers for little money and snazzy up my phone.,Negative
"I loved the case when I first received it but shortly after, the case started to peel off at first i did not know what it was until i looked on the back of the case and it was missing spots. Guess sometimes a good deal is not really a good deal.would not purchase.",Positive
"The color is more dark in person, and this isnt the best protection case. I get a lot of compliments on the case, and it was easy to put on.",Positive
Simple to install and a great way to help protect your phone.My wife really liked the ability to change the look of her phone.,Positive
The case is pretty good. It dose have some scratches on one side of the phone but its every little. Other then that i like it. Ive dropped my phone a few times since putting on the case and it didnt break or scratch. Ive gotten many complements on this case and over all it was worth the few bucks I spent.,Positive
This case is afordable and yes it peels veryery easy but thats to be expected because its a dollor. I bought mine from Electromaster. It snaps on fine for me but if I were to drop my phone the phone would be fine but the case would surely be done for. its only a dollar so do not get your hopes up. it looks great but its for show not for protection. if you want your phone to be protected go the extra mile for an outter box,Positive
This is one of my favorite cases I have this one on my phone I really love the color a lot.,Positive
It looked like it was used! It was broken when it got to be the paint job was horrible.I would never get it again,Negative
"This case for some reason is peeling, there is not much left of the orginal skin, i  loved the case with pink being my favorite color but i would not recommend this specific one for anyone.",Positive
Its rubberized does not look like it in the picture but it is It is really cute I love this case used it for awhile but I switch out cases like I do my shoes.,Positive
"Received this in about a weeks time. Very nice actually considering how cheap the price was. It is a pink/purple with black leopard spots and has a veryery nice feel to it. I have not tried to remove it yet, but hopefully it will not give me any trouble when I do want to change covers.",Positive
This case was by far the best case I bought for this phone.  It is veryery stylish and I received many compliments,Positive
"This is the cutest case EVER!  I love it because it was easy to apply.  I had to switch from the rubber one because after so many uses, it wears out like the bottom hem of a sweater that has been stretched.  This case keeps my phone intact and protected at the same time...WOO HOO!!",Positive
my daughter liked it for a few days and then i didnt see it anymore on the phone. Use your judgement on that one.,Positive
"very good charger, it woks fine, no complaints!!! I would recommend it!! It was good, but not using it anymore!",Positive
"This product arrived when promised and in the condition promised. It is a genuine Blackberry charger. It was brand new and worked perfectly. For the price, I do not think you can ask for much more than that!",Positive
Great product. Use this with my Galaxy S4. At this price I bought 2 more. One for work and one to keep in the car incase I ever travel and forget my charger.,Positive
"Honestly I have always loved this specific model, since you can just take it with you on the road not worrying if you end up losing it or leaving it where ever you go. Though it does not exactly meet the fast charging needs of high end phones, it works pretty well on all of them, you just need to be patient.",Positive
"I have had this charger well over a year now, and it still works perfectly.  Most chargers would have broken by now.  The folding blades make this more portable than the chargers that come with some Blackberry models that have adapters for different countries.",Positive
"so far no problems, it charges fast that is what i need it. it doesn' have an USB as it specified, jus a direct wall charger.",Negative
Great ! So far.I had this charger before and it seem to last pretty good 3 years fits most phones except Iphone and Galaxy 5  but that phone can still use it in the right side of the portal it will Judy charge it a bit slower. When this charger goes it tends to loose it is fit firmly in usb and has a short.,Positive
Another veryery good phone charger that does the job and has a  veryery affordable price that anyone can afford  to buy it.,Positive
Works well. We use this for travel and it lives in our luggage most of the year. For the low price having an extra USB charger this works great. Charges our Galaxy S3 and Note 2.,Positive
"I needed a charger quick and I did not want to spend $20.00 at the convenience store for a short, crappy charger. For this price, the charger is great.Pros: The cord length is perfect if you have a tall bed. I do not have to struggle to see my phone when I am laying down.Cons: The plug in is a little blocky but nothing to worry about. The connecter does not like to stay in place 100% of the time. It does NOT fall out but if you wiggle it just right it disconnects the charge. My phone is also old and the port is a little worn. That could be my issue.If you need a good charger for a cheap price. Buy this!",Positive
Bought as a spare charger for the house and turned into my main charger because my other one failed. Nice long cable and has held up for tons of charges for my Galaxy S3.,Positive
The charger only lasted a week ad after that it just stopped charging my Samsung Galaxy S3.  They really need to start making these chargers better....I have been thru several!!!!,Positive
"This Charger is awesome! First of all I was not expecting it until between 12/12  and 12/17, but it arrived on 12/11,So That was a plus for me! Second, I was kinda skeptical about purchasing it because it says that its for a Galaxy S and Blackberry so that can mean a lot of things! but I figured what the heck its cheap, so what can I loose!  Well, I just got it today and decided to give it a try at work on my Galaxy S4,  it charged  from 80%  to 100%  in about 7 minutes!! Yes i timed it!  and also the cord is long which is a plus for me!  So if your looking for a fast charger with a long cord and not to mention a great price, this is the one!!update:  not sure what the other reviewer meant by saying these are poor quality chargers, because I have had mine for a little over 2 weeks and it is still going strong!!  Love this charger  especially  for the length!!",Positive
I purchase this for a backup at work.  It charges my SGS4.  I would recommend this charger for the Samsung Galaxy S4.,Negative
This charger woks wonderfully on the Samsung Galaxy S4.  it chargers the phone fast and the price is great!  Highly Recommended product!,Positive
This is another great product and i will always order from here in the future. money spent well!! If you need a great car charger this is the one you need!!,Positive
goes into the lighter port a little rough but it charges the phone fine. I wish it had a little more reach so i could use the phone from the passenger seat of the car more comfortably but its not a big problem. it will reach pretty far because of the coiled section but this will put stress on the charge port of your phone which many people dont realize will eventually break it.,Positive
"I purchased two of these chargers for my sister and girlfriend. They both have Samsung Galaxy phones and needed a car charger so being the OEM fanboy I am, I swooped up on a couple of these for them while remaining slightly skeptical of what was actually going to show up in the mail at this price.I am happy to report I definitely received 2 OEM Samsung car chargers in the mail in sealed bags with part # barcodes (the kind you would normally receive in a new/refurb phone). Ca not go wrong with the price and certainly can not argue with the benefits of OEM verys. generic (mA output and reliability at the top of the list!).",Negative
I bought this for my Samsung Charge. It works perfectly and is built as solidly as the $20 Verizon charger. I highly recommend this car charger and thanks for the great price!,Positive
"It does what it needs to do, veryery pleased. I bought some other cheap lame one and will never go back.",Positive
"Charger works great. Have not had any issues with it at all. I wish it has a retractable cord like some other chargers I have used, but other than that, I love it.",Positive
It works great  thus  far no issues.  The only thing i might have limited was a usb Connect or it charges my t989 without fail,Positive
"The big store that is in every town now (can not say their name) either does not carry anything or is always out of stock. If they ever have anything is stock, it is cheap junk that does not last. I got this cord thru amazon for a fraction of the price I usually pay for the junk at that big national store. This cord works perfectly and has lasted for months now. I also bought at the same time 2 other cheaper charger cords thru amazon that work perfectly. Since this one still works, I have the other two to fall back on when this one finally goes out. This is a great car charger, and it does not cost near as much as the junk you get at the local store--not to mention this is the Samsung brand charger veryerses their junk.",Positive
Good lengthEasy to useVery fast chargingI would recommend it to persons who use their phone a lot.,Positive
luving it  right now will last about 4 mo so you cant beat the price for it I got 4 of them,Positive
"JUNK!!!......This product must be miss labeled.  I can not get my Samsung S2 phone to charge with this OEM charger.  The lights are on, the phone says its charging but nothing happens.  I am not sure if I got a defective product but it is veryery upsetting to sit in your car for hours and not see your phone recharge.  If you need a reliable charger, DO NOT purchase this product.If you need a car charger for your Samsung S2, I would recommend the Motorola Vehicle Power Adapter.  It charges fast and is dependable.",Positive
"A veryery good car charger for your phones, charged my phone pretty quickly and quite affordable, I recommend it to anyone to have as a back up to your charger.",Positive
"The Samsung car charger has stopped working within a 6 month period.  I thought a fuse was blown inside the unit but when I attempted to change it, I have noticed that it does not come apart like most veryehicle chargers.",Negative
"WHAT A GREAT PRICE!RIGHT OUT OF THE BOX, PLUG N UPLOAD SUM JUICE ...DON'T KNOW IF DROPPING IT REPEATEDLY ON THE FLOORBOARD,OR OCCASIONALLY STUFFING IT IN CONSOLE TO HIDE CAUSED FAILURE ...BUT SOON THE GREEN LIGHT FAILED TO LIGHT, AND PHONES DISPLAY SHOWEDIT WASN'T CHARGING. SO EITHER SPEND SEVERAL MORE DOLLARS FOR ONE WITHA HEAVIER CORD/STRONGER SHELL OR TREAT IT AS A DELICATE FLOWER.",Positive
Sprint wanted $30 fro the same item.  This is OEM and not third party after market. Bought two.  Work great,Positive
Plugged into the car and worked the first couple of days. Has not worked since. My phone does not even recognize it is plugged in.,Negative
This charger works great. I love the fact that the LED on it does not light up until it is plugged into the phone. Great bargain.,Positive
"Though I`m not a expert in cell phone chargers. This thing works good, but its not all fireworks and hotel parties. Its a charger and it works so I guess buy it.",Positive
I used this charger for a couple of months now. Its a veryery good charger. It charges my phone veryery quickly.,Positive
It is Samsung brand..works with my Android phones..Galaxy Nexus 4 and Galaxy S2 and S3...recommend it highly for anyone with a microUSB phone,Negative
I needed a car charger and this was veryery affordable and it worksgreat! The same thing from the store was three times the price.,Negative
"good oem car charger, i originally bought it for my galaxy S2 and later on that week I upgrated to the Galaxy S3 and it works prefectly fine, I would recommend this product",Positive
You have to hold it in a certain place in other for it to charge. I will just buy the Verizon  charger instead,Negative
This charger works perfectly.  It is the official Samsung charger so I was sure it would work just fine. I highly recommend it.,Positive
"I use this charger with my GS2 from Straight Talk.  This charger is working as expected, charges the phone fine and seems like a quality product, not flimsy and cheap feeling like some chargers I have ordered in the past.",Positive
"This thing worked well when it actually functioned, but today it stopped working and I am past the 30 day return window by 10 days give or take.I am guessing the quality might not be great as that is why it stopped working, who knows.. What a waste of money.",Positive
Hope to use it soon.  My other one worked sometimes.  This one does not have the light on unless you are charging.,Positive
"es un cable para carro de excelente calidad , original de samsung , lo tengo algun tiempo sin ningun problema",Positive
"I went thru 3 car charges which they all either stopped working after a few uses or never worked to begin with.This car harder not only works it also charges my phone lightening fast!!! LOVE IT, LOVE IT LOVE IT!!If u are debating u can rest assured this thing is awesome.",Positive
"First, this is kind of cheap-looking, but I did try to buy the cheapest OEM car charger I could for my phone, so that is forgiveable.  The springs on the side do not have much force, though, so this is constantly slipping out of the 12V car port.  The cable is sturdy, but the rubber near the connector is kind of stiff, which makes charging AND operating your phone on the go a bit of a hassle.  It is held up well since I purchased it though.UPDATE:  Stopped charging after a month.",Positive
"I have been using this for about 4 months now and it works just as it is intended.  I would buy again.  Quality product.The cord could stand to be a little longer, but it is of a decent length.",Negative
Works great nice long cord. Does the trick. Bought several of these to put in diff. rooms & one for work.,Positive
Good charger and is perfect because it is also has a USB connection. Also love that it is original material it works like that too giving a quick charge when i need it.,Positive
I have had 3 phone chargers go bad in two weeks. I can not say where I purchased them. Most chargers for cell phones are cheaply made. This one is OK I guess.,Negative
"Got this to replace a frayed OEM cord. The cord itself is ok ;however, the plug that looks like OEM and is stamped as such, is crap! Took 8 times longer to charge with this unit! When the cord was paired with the actual OEM plug in, it worked fine. So if you need a cord its ok; however, it is definitely not OEM and the plug is worthless. For the price and really just needing a cord it is a good veryalue but I am veryery disappointed with the false markings as OEM when it is certainly not.",Negative
"I received this product in a veryery timely manner which was delightful, however, I gave it as a gift and was embarrassed to find out it was a defective item. I was reimbursed for the product but would have much rather had a product that worked the first time.",Negative
It worked fine for a few days then I had to change to cord........The charger itself working fine up to this point..........Rather than send it back I bought another cord from sprint for $19.00,Positive
"fast delivery, works well. Not veryery long.",Negative
I thought this would be a Samsung product but look like a cheap counterfiet. It came crushed and is slow to charge my phone.,Positive
This detachable sansung galaxy s2 travel charger is simply good. It works perfectly.  The cherry on the cake is because it is longer than the factory original l received with the phone.,Positive
Had all the marking of a legit samsung product but the cord stop working after 3 days. I am not upset because it was veryery inexpensive but maybe you should spend a little more and buy a better product off amazon. When it did work it worked veryery well.,Negative
"First off, the charger works just as it should and all the ports stay connected just fine.People in other reviews were complaining that the cord was too short-- about 2 or 3 feet-- and that was what I was expecting. Instead, I got a 5 foot cord which is a bit long for the purpose I was going to use it for (in my car). Now I have a long cord dangling everywhere. That extra length may be a bonus for most, but I bumped down the rating due to seller is lack of description and/or consistency. Also I am fairly certain the product image was changed because when I ordered it, a different style adapter was pictured... I was expecting a square shape with the USB port on the side; I got the longer rectangle shape with the USB port on the end... hmm. There is no way to veryerify that now.In sum: Good charger with good connectivity, looks and acts like it is an original Samsung.  Cord length and adapter style may veryary as it seems like the seller is not consistent.",Positive
it is a charger for dirt cheap and the shipping was not more than the item. I wish they had the batteries i needed as well for my phone. but great all an all,Positive
"although i do not use the charger, the cable is useful.  it is longer than what is given with the phone.  the additional length allows the phone to be placed in plain sight, instead of down by the wall receptical",Negative
"This charger does not charge the battery of my Samsung Galaxy S2 (i9100) properly.When I connect it to my S2, the screen gets frozen and the cell behaves in a unusual (abnormal) way.",Negative
This charger is exactly like the original one that came with my phone.  It is most definitely a good buy for the price!,Positive
"works good with our phones, better actually than the charger that came with one of the phones initially , great price",Positive
"Was here right on time.Wall adapter what I expected and works well but dose Not Have Quick-Charge As This ad states and that was the,Whole reason I chose this chager so that is horribly disappointing and inconvenient ..... The micro usb is useless it looks and acts cheaply made, and dose not fit well in to ports an either end will periodically stop working and my phone will freeze and turn off periodically as well....I know its the usd because I tried it in several devices and adapters and it had the same problems....I Will never order from Amazon Again Only two orders out of 13 have come without Defect or Wrong Probuct!Ugh!",Negative
I have not had any problems with it.  It just like the oringal charger that comes with the Galaxy S 2.,Positive
"I would like to start off by saying that this product is what I ordered and I have no complaints about shipping or the condition of the product when it came to my house, the problem I do have is the micro usb cable that comes with the charger. Why is it that all of the different companies that sell chargers on Amazon can get the plug part of the charger right but not the micro usb cord? The cord is cheap and not the original cord that comes with the other part of the charger. I am having the same issue with the charger that I ordered for my galaxy note 2. It is a veryery thin cord, and also veryery short. Maybe, a 2 21/2 foot cord? And its of a cheaper quality than the part of the charger that the micro usb plugs into...",Positive
thank you. it did not disappoint. was as expected and does the job though I am going to a new phone as the galaxy 2 has been acting up consistently. shutting down by surprise etc...,Negative
I love it.  It charges my phone quickly and the cord is super long.  I leave it at home but will purchase another to leave at work.,Positive
"In a nutshell, this is NOT an OEM charger.  Although it has the Samsung markings, it does not seat well with a Samsung phone.  This means that it is either meant for another market or it is counterfeit.  With that said, I would not buy this again.~~~~~~~~~~August 17, 2013 - UpdateThe seller tried to make amends by sending me three replacement chargers.  After using this for a while, it is still garbage.  It does not charge my phone and in fact, it drains the phone.  This must be a counterfeit product.  It has Samsung markings but it does not charge the phone.  DO NOT BUY THIS PRODUCT!!!!",Negative
"After 2 weeks my charger just fell apart while i was taking it from the plug , not a strong charger at all i would have asked for my money but it was not even worth it .",Positive
I am pleased with this purchase.  The detachable cable option gives veryery good flexibility for use with other USB cable chargers.  Good quality for a travel charger.,Positive
charges me up all the way. doubles my battery liek promised. case protects well and the color is awesome nice,Positive
"The color is amazing all of my friends are jealous and ask me where did I get it. They are even more jealous when I tell them how much I paid for it! Great case, powers me up and VERY stylish. Matches my 5C PERFECTLY :)",Positive
much slimmer than I thought and it ads 125% battery. I am charged for the full day with this case.,Positive
"Great quality product , I love this case it is the perfect sidekick to an always dyeing phone . Now my phone is charged anywhere anytime thanks to powerbear . Really like the name of the case as well !! 5 stars deff !",Positive
This case helps me run my day smoothly without having to worry about my phone dying. Plus the color is veryery beautiful.,Negative
Bought one for me and another for the wife. Acts as phone protector and charging case in one. Hold charge all day so no complaints.,Negative
"This PowerBear case is a lifesaver!! Charges fast, always reliable. I also love the glossy texture of the case. Highly recommend!!",Positive
"This is a veryery well built and designed case,with a veryery cool and attractive color. Phone dies too quickly without it",Positive
"I was surprised it game in three steps, but when i put the case together and slid my phone in, i loved it. It is hard to get off",Positive
I was looking for something different to my wife and this case its strong and beautiful. Good price and i recommend it.,Positive
"Love it this case is just what I expected and I love the design, it is slim and protects my case more than I thought it would.",Positive
"this is really cute phone case, i like it alot, and it came in when it stated it would too",Negative
"Really cute but the heart does not really show up if you have the white iPhone 4. 3 piece case & fits like a glove, looks really cute. Shipping took about 2-3 weeks but really enjoy the case. Do recommend.",Positive
This one came in broken  The bottom pice snaps on to the sides and the main backing is a inlay piece. Came in scuffed with paint and the pieces will not click in together. If it was not broken I would like it. Also if it was not in three click in pieces,Negative
Great case for my phone. Protects and keeps me charged. easy access to the button and sounds good too. i like it,Positive
Other power cases muffled the speaker sound. This one had a great sound port on the back for clear listening.,Positive
"Wow!  What a cute battery case! I saw a Christian sister with one of these on her phone!  That gave ne an idea-I decided to order me and my sister a battery case-mine is white, (since my phone is white), and my sister is is black,(since her phone is blue).Anyway, these little guys give you power for your phone! If we run out juice, especially when on the go, we can just connect this case to our phone, and it is POWER ON THE GO!! (I am just concerned about the functionality).",Negative
Great case. Doubled my battery life like promised. Ca not beat the price. I would recommend it for a friend. A+,Positive
"Great case, sturdy, doubles battery, wont have to worry any more. I purchased this for my kid and he is veryery HAPPY.",Positive
"Bought one for me and the wife (diff color;phone, not  wife, lol.). Firefighter work 24 hr shift and never know when if will get to recharge so this is perfect for me and anyone else that can not always plug in to charge each day.",Positive
"I used to be obsessed with changing phone cases, but now I am obsessed with THIS phone case!! What a great find !! 5 STARS",Positive
couldnt watch movies on the htc without the battery dying. the phone is great for entertainment. but battery could be better. the powerbear cases is a great fit and a good kick stand on teh back for entertainment. im sold,Positive
This product is great. I like the kickstand on the back. The power indicator is veryery convenient to know charge pack status.,Positive
Not Many HTC one battery cases for sale and this one is pretty good for the price. I would give it 4.5 stars and 5 if the price was $5 cheaper.,Positive
"I never do this, but I almost bought this product based off of the amazing sounding fake reviews provided by the shills for PowerBear. If you look at all the positive reviews for this case, you will see that none of them are veryerified purchases and yet every negative review, other than this one of course, is a veryerified purchase. What that means is that everyone who has actually bought and used this product thinks that it is crap. Furthermore, many of the reviewers have posted twice on this product, once per color. Why Amazon allows this is beyond me, but that is not the point. Also, if you look at the profiles of the positive reviewers, you will see that they have posted multiple positive reviews for PowerBear products and many of the reviews are carbon copies of each other. Beware the paid shills!",Positive
"This is absolutely amazing, more than doubles my battery life, so I can forget about carrying my charger all the time.For such a good price, this is just the right deal. A++++++++",Positive
Bought case for me and wife to qualify for free shipping. Came in different colors to match phone.  Can go entire 24 hours without charging; but I am not a kid playing games all day long. No complaints or problems. (Personally I wrote another review in the wrong spot since we had diff phones and diff colors I f&%$ up),Negative
"Since I am always on my phone, the battery life is veryery short. After purchasing this battery case I am no longer worried about running out of battery life.",Negative
"Watch-out, all these positive reviews are fake. Some have even reviewed it twice using the same name. What a sleazy way to sell an item.",Negative
"My brother just got the HTC One, and I promised him an awesome case like the one I have for my S4.Super sleek look, fits well, does not get overheated and saves the day every now and then! Especially when GPS is needed!",Positive
The color pops out so well. Clips well to my phone and charges me up. I cant complain! No cons!,Negative
The raised edges protect the screens from falls. The battery case looks stylish and charges me up. This case is fannnnntastic,Positive
fits well on the phone and it is easy to use. the price is unbeatable and the product works like advertised,Positive
The S5 is a fantastic phone. However because of its large screen the phone dies quickly. With the extended battery I am able to enjoy all of the phones features without losing power. Great buy.,Positive
